PID,group,gender,age,SWS,abi_average,math_average,BF_Gew,BF_Ext,BF_Neu,BF_Ver,BF_Off,procrastination,SELLMO_LZ,SELLMO_AL,SELLMO_VL,SELLMO_AV,nfc,second_try,prior_knowledge,entrance_certificate,study_program,semester,financing_parents,financing_bafoeg,financing_scholarship,financing_job,financing_others
726,B,weiblich,23,13,3.3,9,13,20,13,12,16,14,31,21,22,22,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Fachgebundene Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,TRUE,TRUE,FALSE
727,A,weiblich,20,12,1.9,8,18,16,13,17,15,17,36,27,24,19,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
729,A,weiblich,23,11,1.8,12,18,20,11,20,15,24,39,18,13,17,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,FALSE,FALSE,FALSE,TRUE,FALSE
731,B,weiblich,20,22,1.9,8,20,19,14,17,21,10,39,35,33,21,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,TRUE,FALSE,FALSE,FALSE
732,B,weiblich,20,20,2.3,10,12,19,14,17,21,24,31,9,10,30,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
733,B,weiblich,21,16,2.1,8,14,17,17,18,14,27,35,24,30,22,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
734,B,weiblich,20,9,2.1,7,18,20,11,15,10,22,34,19,14,15,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
735,B,männlich,24,16,2.2,13,15,15,7,21,18,19,32,16,19,19,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,2,FALSE,FALSE,FALSE,TRUE,FALSE
736,B,weiblich,20,16,1.8,10,16,16,16,19,13,26,34,20,16,17,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
737,B,männlich,20,15,3.0,NA,18,16,18,18,17,18,30,23,27,23,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,FALSE,FALSE,FALSE,FALSE
